"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"dependent.var90","a65chronic","na","NA","NA","0",NA,0,0,"district","al.kadhmiyah",NA
"dependent.var91","a65chronic","na","NA","NA","0.01 (0-0)",NA,0.00198148870860568,0.0223438209181699,"district","al.kaim",NA
"dependent.var92","a65chronic","na","NA","NA","0.04 (0.02-0)",NA,0.0239977901048287,0.0484509636144519,"district","al.amadiya",NA
"dependent.var93","a65chronic","na","NA","NA","0",NA,0,0,"district","al.khalis",NA
"dependent.var94","a65chronic","na","NA","NA","0.01 (0.01-0)",NA,0.00808489383944682,0.0186749927942432,"district","daquq",NA
"dependent.var95","a65chronic","na","NA","NA","0.01 (0-0)",NA,0.0038513563782044,0.0163506638238158,"district","rawanduz",NA
"dependent.var96","a65chronic","na","NA","NA","0.01 (0.01-0)",NA,0.00719210011649171,0.0170452314387083,"district","al.hindiya",NA
"dependent.var97","a65chronic","na","NA","NA","0.02 (0.01-0)",NA,0.0140936842211422,0.02335781717752,"district","al.shikhan",NA
"dependent.var98","a65chronic","na","NA","NA","0.01 (0.01-0)",NA,0.00564808846287316,0.0212577411335394,"district","kifri",NA
"dependent.var99","a65chronic","na","NA","NA","0.01 (0.01-0)",NA,0.00832253510788408,0.0200279803560334,"district","al.hawiga",NA
"dependent.var100","a65chronic","na","NA","NA","0.02 (0.01-0)",NA,0.00925003717365473,0.027339550617311,"district","khanaqin",NA
"dependent.var101","a65chronic","na","NA","NA","0",NA,0,0,"district","al.karkh",NA
"dependent.var102","a65chronic","na","NA","NA","0.01 (0-0)",NA,0.00460147495684396,0.0243108974246857,"district","kalar",NA
"dependent.var103","a65chronic","na","NA","NA","0.02 (0.01-0)",NA,0.00932111159617255,0.0236821887338605,"district","ana",NA
"dependent.var104","a65chronic","na","NA","NA","0.01 (0-0)",NA,0.00461125739512709,0.0240996605089183,"district","sinjar",NA
"dependent.var105","a65chronic","na","NA","NA","0.02 (0.01-0)",NA,0.0098850183808512,0.0249581871940617,"district","al.kufa",NA
"dependent.var106","a65chronic","na","NA","NA","0",NA,-2.83679595844948e-05,0.000430862467784924,"district","al.falluja",NA
"dependent.var107","a65chronic","na","NA","NA","0.02 (0.01-0)",NA,0.00542503792458453,0.0259771979081928,"district","erbil",NA
"dependent.var108","a65chronic","na","NA","NA","0",NA,-6.36320562814028e-05,0.00478760995194128,"district","al.sulaymaniyah",NA
"dependent.var109","a65chronic","na","NA","NA","0",NA,0,0,"district","halabcha",NA
"dependent.var110","a65chronic","na","NA","NA","0",NA,0.000821672882464091,0.00916584272302904,"district","al.hatra",NA
"dependent.var111","a65chronic","na","NA","NA","0",NA,-0.0017819812002409,0.00879952505989002,"district","al.muqdadiya",NA
"dependent.var112","a65chronic","na","NA","NA","0.01 (0.01-0)",NA,0.00966733525040405,0.0176645604767614,"district","al.baaj",NA
"dependent.var113","a65chronic","na","NA","NA","0.01 (0.01-0)",NA,0.00691612692220115,0.0218838730777989,"district","rania",NA
"dependent.var114","a65chronic","na","NA","NA","0.01 (0.01-0)",NA,0.00629675127910394,0.0219426488232708,"district","al.najaf",NA
"dependent.var115","a65chronic","na","NA","NA","0",NA,0.00212413554137255,0.00359341470357039,"district","al.adhamiya",NA
"dependent.var116","a65chronic","na","NA","NA","0",NA,0.00238072619150169,0.00428438234923793,"district","al.nasiriya",NA
"dependent.var117","a65chronic","na","NA","NA","0",NA,0,0,"district","al.kut",NA
"dependent.var118","a65chronic","na","NA","NA","0",NA,-0.00167796070369136,0.00708336610909676,"district","al.suwaira",NA
