"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"a65chronic","population_group",NA,"returnee",0.0189035916824197,NA,0.0110976080940669,0.0267095752707724,"district","makhmour"
"a65chronic","population_group",NA,"idp_in_camp",0.0116822429906542,NA,0.00189511861599488,0.0214693673653135,"district","makhmour"
"a65chronic","population_group",NA,"idp_out_camp",0.00294985250737463,NA,-0.000583692207647257,0.00648339722239652,"district","koysinjaq"
"a65chronic","population_group",NA,"idp_in_camp",0.0169416892504749,NA,0.011709250136018,0.0221741283649318,"district","sumail"
"a65chronic","population_group",NA,"host",0.0363423212192263,NA,0.0189507870492381,0.0537338553892144,"district","sumail"
"a65chronic","population_group",NA,"idp_out_camp",0.0288335517693316,NA,0.0182662740932269,0.0394008294454363,"district","sumail"
"a65chronic","population_group",NA,"returnee",0.0065359477124183,NA,0.000797188698723636,0.012274706726113,"district","al.shirqat"
"a65chronic","population_group",NA,"idp_out_camp",0.0072840790842872,NA,0.00453432754059285,0.0100338306279815,"district","al.shirqat"
"a65chronic","population_group",NA,"idp_in_camp",0.0285714285714286,NA,0.0071284128931036,0.0500144442497535,"district","al.shirqat"
"a65chronic","population_group",NA,"host",0.0123456790123457,NA,0.00932266963841305,0.0153686883862783,"district","al.shirqat"
"a65chronic","population_group",NA,"returnee",0.0106951871657754,NA,-0.000135435347983456,0.0215258096795343,"district","haditha"
"a65chronic","population_group",NA,"idp_out_camp",0.0102040816326531,NA,0.00251383776919689,0.0178943254961092,"district","haditha"
"a65chronic","population_group",NA,"returnee",0,NA,0,0,"district","al.ramadi"
"a65chronic","population_group",NA,"idp_out_camp",0,NA,0,0,"district","al.ramadi"
"a65chronic","population_group",NA,"returnee",0.0242774566473988,NA,0.010614115396311,0.0379407978984867,"district","tilkaef"
"a65chronic","population_group",NA,"idp_out_camp",0.0179310344827586,NA,0.0118146448953232,0.024047424070194,"district","tilkaef"
"a65chronic","population_group",NA,"idp_out_camp",0.00671140939597315,NA,-0.00112058048059669,0.014543399272543,"district","al.kahla"
"a65chronic","population_group",NA,"host",0,NA,0,0,"district","al.kahla"
"a65chronic","population_group",NA,"host",0.0344827586206897,NA,0.0274139534984094,0.0415515637429699,"district","al.basrah"
"a65chronic","population_group",NA,"idp_out_camp",0.0178571428571429,NA,-0.00338620224427606,0.0391004879585618,"district","al.basrah"
"a65chronic","population_group",NA,"returnee",0,NA,0,0,"district","heet"
"a65chronic","population_group",NA,"idp_out_camp",0.00619195046439628,NA,-0.000520174912486624,0.0129040758412792,"district","heet"
"a65chronic","population_group",NA,"returnee",0,NA,0,0,"district","al.kadhmiyah"
"a65chronic","population_group",NA,"idp_out_camp",0,NA,0,0,"district","al.kadhmiyah"
"a65chronic","population_group",NA,"idp_in_camp",0,NA,0,0,"district","al.kadhmiyah"
"a65chronic","population_group",NA,"returnee",0.012589928057554,NA,1.79496521058743e-05,0.025161906463002,"district","al.kaim"
"a65chronic","population_group",NA,"idp_out_camp",0,NA,0,0,"district","al.kaim"
"a65chronic","population_group",NA,"idp_out_camp",0.0339805825242718,NA,0.016042463849698,0.0519187011988456,"district","al.amadiya"
"a65chronic","population_group",NA,"idp_in_camp",0.0380434782608696,NA,0.0155904931119318,0.0604964634098074,"district","al.amadiya"
"a65chronic","population_group",NA,"idp_out_camp",0,NA,0,0,"district","al.khalis"
"a65chronic","population_group",NA,"returnee",0,NA,0,0,"district","al.khalis"
"a65chronic","population_group",NA,"idp_out_camp",0.0129151291512915,NA,0.0035036471861012,0.0223266111164818,"district","daquq"
"a65chronic","population_group",NA,"returnee",0.01375,NA,0.00551493632681456,0.0219850636731854,"district","daquq"
"a65chronic","population_group",NA,"idp_out_camp",0.0101010101010101,NA,0.00265408837384828,0.0175479318281719,"district","rawanduz"
"a65chronic","population_group",NA,"idp_out_camp",0.0123893805309735,NA,0.00611226509475643,0.0186664959671905,"district","al.hindiya"
"a65chronic","population_group",NA,"idp_in_camp",0.0102564102564103,NA,-0.00382139265663083,0.0243342131694513,"district","al.hindiya"
"a65chronic","population_group",NA,"idp_out_camp",0.020817843866171,NA,0.0154302387974901,0.0262054489348519,"district","al.shikhan"
"a65chronic","population_group",NA,"idp_in_camp",0.0175253496734308,NA,0.00864956625673976,0.0264011330901218,"district","al.shikhan"
"a65chronic","population_group",NA,"returnee",0.0121212121212121,NA,0.00155946854278253,0.0226829556996417,"district","al.shikhan"
"a65chronic","population_group",NA,"idp_out_camp",0.0134529147982063,NA,0.00415289060627011,0.0227529389901424,"district","kifri"
"a65chronic","population_group",NA,"returnee",0.0141752577319588,NA,0.00720130858126782,0.0211492068826497,"district","al.hawiga"
"a65chronic","population_group",NA,"idp_out_camp",0.0190763052208835,NA,0.0102074660614265,0.0279451443803405,"district","khanaqin"
"a65chronic","population_group",NA,"idp_in_camp",0.0130767159989526,NA,0.00393038429780474,0.0222230477001004,"district","khanaqin"
"a65chronic","population_group",NA,"returnee",0.0185614849187935,NA,0.00568075104110189,0.0314422187964851,"district","khanaqin"
"a65chronic","population_group",NA,"idp_out_camp",0,NA,0,0,"district","al.karkh"
"a65chronic","population_group",NA,"idp_out_camp",0.0158415841584158,NA,0.00251948522996957,0.0291636830868621,"district","kalar"
"a65chronic","population_group",NA,"idp_in_camp",0.00352112676056338,NA,-0.00344374994167487,0.0104860034628016,"district","kalar"
"a65chronic","population_group",NA,"returnee",0.0165016501650165,NA,0.00794551072869562,0.0250577896013374,"district","ana"
"a65chronic","population_group",NA,"returnee",0.0151228733459357,NA,0.00028935180027281,0.0299563948915986,"district","sinjar"
"a65chronic","population_group",NA,"idp_out_camp",0.0125195618153365,NA,-0.00517915160198744,0.0302182752326604,"district","sinjar"
"a65chronic","population_group",NA,"idp_out_camp",0.0174216027874564,NA,0.00844120856796019,0.0264019970069527,"district","al.kufa"
"a65chronic","population_group",NA,"idp_out_camp",0.00246305418719212,NA,-0.00235722086301908,0.00728332923740332,"district","al.falluja"
"a65chronic","population_group",NA,"idp_in_camp",0.00315104075076723,NA,-0.00161388065804267,0.00791596215957713,"district","al.falluja"
"a65chronic","population_group",NA,"returnee",0,NA,0,0,"district","al.falluja"
"a65chronic","population_group",NA,"idp_in_camp",0.0122396219300105,NA,0.0021008885518136,0.0223783553082075,"district","erbil"
"a65chronic","population_group",NA,"idp_out_camp",0.0155440414507772,NA,0.00247214964984101,0.0286159332517134,"district","erbil"
